fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,27,RAJASTHAN,2728,BANSWARA,12534987,214.667727742284,34,2639,4454.890325967,5366,2,37683,9090769,341772,29537,7395972,625526,390.34997,24360.187542567,260577,380293,383334,766873,4662,426563,843137,43049,19514.9472466,5464312,53,50.82,27.42,99.97,NA
2024-2025,July,27,RAJASTHAN,2706,ALWAR,2010151,231.943695336127,21,294,657.1186336,1120,14,9194,1286270,455808,104893,193186,56582,86.72936,3727.2701636,60920,67783,195939,362758,3,322439,583087,10314,2983.42217,989685,33,8.08,61.41,100.08,NA
2024-2025,July,27,RAJASTHAN,2710,SAWAI MADHOPUR,2021073,198.860243060894,23,168,448.589609021,1803,4,8013,1073229,258506,79717,240994,84460,95.78547,2678.600877021,46010,57587,164696,346032,27,265217,557517,9816,2134.225798,733025,71,30.73,50.81,99.93,NA
2024-2025,July,27,RAJASTHAN,2726,UDAIPUR,8111996,217.944230604579,35,604,3976.834997908,12788,6,28438,7615148,253589,28964,5710127,553251,296.05791,20869.668625908,215055,255190,379253,777994,1223,564205,1141577,41226,16596.775718,5506113,61,21.97,41.16,99.91,NA
2024-2025,Aug,27,RAJASTHAN,2702,HANUMANGARH,3859470,213.717600762573,24,285,813.596666825,1998,0,9865,3274703,1503918,174104,10607,1310,186.79203,7999.005380525,131694,142260,209431,437021,4,288631,596382,11863,6998.6166837,2187164,29,50.38,8.74,99.91,NA
2024-2025,Aug,27,RAJASTHAN,2711,DAUSA,1828161,205.904891332603,22,131,370.188112456,662,7,6734,927095,221469,49499,284511,71335,75.39152,2354.513584756,40336,45076,123330,229852,0,215628,386537,7396,1908.9339523,780895,53,17.15,65.85,99.92,NA
2024-2025,Aug,27,RAJASTHAN,2715,JODHPUR,6733084,210.459207308388,26,472,1908.692656491,1185,9,25354,4738665,978632,163188,167250,31328,570.34636,12451.995812491,175910,202506,440328,909122,48,588593,1213741,26539,9972.956796,3561770,68,26.52,52.12,99.85,NA
2024-2025,Aug,27,RAJASTHAN,2719,SIROHI,4295883,198.53152484459,36,219,470.44884195,2724,0,5981,3023777,782667,71203,978283,95391,57.15119,6530.75061795,82528,91836,143046,289974,274,196829,391630,8705,6003.150586,2553130,46,30.17,54.9,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2721,AJMER,9998508,192.695166837227,33,922,2492.15819819,2487,1,16528,9411119,1444160,114302,286654,23441,133.18633,20760.11598649,283456,307843,411581,732535,6,488913,867794,19015,18134.7714583,7699365,20,29.55,49.5,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2723,BUNDI,3152820,214.050265907674,28,352,478.605952548,1913,1,8756,2842716,570336,75287,761091,97186,69.10517,6632.552279548,98113,116614,165378,378439,41,243232,555662,10669,6084.84115700001,1944424,45,36.59,18.8,99.99,NA
2024-2025,Aug,27,RAJASTHAN,2724,BHILWARA,9319512,207.200446211328,31,1016,5788.149478011,2647,1,33625,10862566,1956988,149901,1370652,92603,323.02978,28618.464480011,344687,390502,476236,847645,27,530246,934520,36272,22507.285222,8552637,39,28.64,39.23,99.98,NA
2024-2025,Aug,27,RAJASTHAN,2730,KOTA,3365207,202.332669539561,36,448,234.592978408,899,1,7007,3312339,919952,68762,588582,43949,79.98115,7016.518051308,91405,109904,121920,247608,25,165550,328317,7906,6701.9439229,2333531,40,28.9,28.37,99.98,NA
2024-2025,Sep,27,RAJASTHAN,2707,BHARATPUR,2243424,210.289870007631,25,540,886.834154341999,686,0,7418,1829492,498898,107120,24808,8233,106.79671,4840.867212942,71662,86437,177780,386799,11,378550,795269,8104,3847.2363486,1219087,42,13.94,46.59,99.59,NA
2024-2025,Sep,27,RAJASTHAN,2728,BANSWARA,13092644,214.947943118411,36,2682,6773.964313487,7606,2,35597,9560633,367126,29554,7726366,625956,464.13704,27788.485336087,264453,387681,383602,767454,5194,427596,845185,43203,20550.3839826,5743524,53,52.48,26.28,99.91,NA
2024-2025,Sep,27,RAJASTHAN,2732,JHALAWAR,6441905,230.097885687836,35,623,7074.832013064,8701,0,20387,7643526,1648779,125298,1232619,88304,261.47763,24923.901361064,213142,300038,313845,581033,103,359728,656212,29088,17587.591718,4283240,47,39.25,37.9,99.9,NA
2024-2025,Sep,27,RAJASTHAN,2733,PRATAPGARH,7685587,207.28628570179,53,1291,3347.069542217,5576,1,35888,11387174,492230,22760,8854616,342236,88.94201,27040.061583217,211309,318359,252599,457848,18092,285540,511247,41464,23604.050031,6405807,73,42.86,28.44,98.78,NA
2024-2025,Aug,27,RAJASTHAN,2701,SRI GANGANAGAR,3721242,202.199314423008,25,541,990.147177736,2628,0,13718,4408068,2564610,258962,10859,1479,104.72239,10007.952843036,174287,195662,260452,493310,19,321261,599884,16346,8913.0832753,3031093,44,67.35,3.77,99.88,NA
2024-2025,Aug,27,RAJASTHAN,2714,NAGAUR,7989110,226.075645279332,35,970,7820.441094901,4253,2,23363,11243991,3378628,309691,24739,2511,354.18844,33594.554743301,314945,369304,515873,1109736,21,644490,1377575,27616,25419.9252084,8298943,38,10.59,66.52,99.93,NA
2024-2025,Aug,27,RAJASTHAN,2715,JODHPUR,6733084,207.241929437617,28,480,1908.692656491,1195,9,25520,5313341,1096532,163351,189042,31346,594.17041,13514.333472491,185462,214836,440765,910032,58,588836,1214260,26715,11011.470406,3989290,68,27.2,51.79,99.83,NA
2024-2025,Aug,27,RAJASTHAN,2717,BARMER,15440670,276.099647556695,45,902,11633.0575965761,33357,0,99367,13204677,1970325,179164,762284,70865,525.58149,48616.7057445761,287865,456644,581964,1109695,2532,682548,1297246,132724,36458.066658,7492191,91,75.81,9.25,99.93,NA
2024-2025,Aug,27,RAJASTHAN,2718,JALORE,4103317,207.467318431874,38,441,1786.932086864,2789,0,12509,4319398,1294774,117056,635863,58885,154.77973,10903.051019864,113486,127262,231599,455799,57,330806,647880,15298,8961.339203,3633329,59,30.42,49.48,99.95,NA
2024-2025,Aug,27,RAJASTHAN,2723,BUNDI,3152820,214.168162963346,29,356,478.605952548,2005,1,8695,2937274,587253,75320,783243,97247,81.00339,6850.31510954801,99199,118256,165485,378706,66,243300,555811,10700,6290.705767,1997929,45,37.42,18.64,99.98,NA
